country:bra
克鲁塞罗     ,KeLu
科林蒂安     ,KeLin
弗鲁米嫩塞   ,FuLu
巴西国际     ,BaXi
累西腓体育   ,Lei
桑托斯       ,Sang
戈亚斯       ,GeYa
圣保罗       ,Sheng
巴拉纳竞技   ,BaLa
格雷米奥     ,GeLei
米内罗竞技   ,Mi
克里西乌马   ,KeLiXi
帕尔梅拉斯   ,Pa
博塔弗戈     ,Bo
维多利亚     ,Wei
沙佩科恩斯   ,Sha
科里蒂巴     ,KeLiDi
弗拉门戈     ,FuLa
巴伊亚       ,Ba
费古埃伦斯   ,Fei
KeLu      ,克鲁塞罗
KeLin     ,科林蒂安
FuLu      ,弗鲁米嫩塞
BaXi      ,巴西国际
Lei       ,累西腓体育
Sang      ,桑托斯
GeYa      ,戈亚斯
Sheng     ,圣保罗
BaLa      ,巴拉纳竞技
GeLei     ,格雷米奥
Mi        ,米内罗竞技
KeLiXi    ,克里西乌马
Pa        ,帕尔梅拉斯
Bo        ,博塔弗戈
Wei       ,维多利亚
Sha       ,沙佩科恩斯
KeLiDi    ,科里蒂巴
FuLa      ,弗拉门戈
Ba        ,巴伊亚
Fei       ,费古埃伦斯
end:bra

country:eng
曼彻斯特城     ,ManC
利物浦         ,Li
切尔西         ,Qie
阿森纳         ,ASeng
埃弗顿         ,Ai
托特纳姆热刺   ,Tuo
曼彻斯特联     ,ManL
南安普敦       ,Nan
斯托克城       ,SiTuo
纽卡斯尔联     ,Niu
水晶宫         ,Shui
斯旺西         ,SiWang
西汉姆联       ,XiHan
桑德兰         ,Sang
阿斯顿维拉     ,ASi
赫尔城         ,He
西布罗姆维奇   ,XiBu
诺维奇         ,Nuo
富勒姆         ,Fu
卡迪夫城       ,Ka
ManC      ,曼彻斯特城
Li        ,利物浦
Qie       ,切尔西
ASeng     ,阿森纳
Ai        ,埃弗顿
Tuo       ,托特纳姆热刺
ManL      ,曼彻斯特联
Nan       ,南安普敦
SiTuo     ,斯托克城
Niu       ,纽卡斯尔联
Shui      ,水晶宫
SiWang    ,斯旺西
XiHan     ,西汉姆联
Sang      ,桑德兰
ASi       ,阿斯顿维拉
He        ,赫尔城
XiBu      ,西布罗姆维奇
