马尔默,Ma
AIK索尔纳,Aik
赫根,He
卡尔马,Ka
IFK哥德堡,Ifk
埃尔夫斯堡,Ai
佐加顿斯,Zuo
北雪平,Bei
奥特维达堡,Ao
法尔肯堡,Fa
耶夫勒,Ye
厄勒布鲁,ELei
赫尔辛堡,HeEr
哈尔姆斯塔德,HaTa
米亚尔比,Mi
布鲁马波卡纳,BuLu
厄斯特什,ESi
叙利亚人,Xu
哥德堡盖斯,Ge
特雷勒堡,Te
哈尔姆斯达斯,HaDa
阿特维达堡,ATe
布洛马波卡纳,BuLuo
桑斯瓦尔,Sang
奥斯特,AoSi
奥尔格里特,AoEr
阿西里斯卡,AXi
索尔纳,Suo
恩科平,EnKe
加尔斯,Jia
V.弗罗伦达,VFu

Ma,马尔默
Aik,AIK索尔纳
He,赫根
Ka,卡尔马
Ifk,IFK哥德堡
Ai,埃尔夫斯堡
Zuo,佐加顿斯
Bei,北雪平
Ao,奥特维达堡
Fa,法尔肯堡
Ye,耶夫勒
ELei,厄勒布鲁
HeEr,赫尔辛堡
HaTa,哈尔姆斯塔德
Mi,米亚尔比
BuLu,布鲁马波卡纳
ESi,厄斯特什
Xu,叙利亚人
Ge,哥德堡盖斯
Te,特雷勒堡
HaDa,哈尔姆斯达斯
ATe,阿特维达堡
BuLuo,布洛马波卡纳
Sang,桑斯瓦尔
AoSi,奥斯特
AoEr,奥尔格里特
AXi,阿西里斯卡
Suo,索尔纳
EnKe,恩科平
Jia,加尔斯
VFu,V.弗罗伦达
