1	 10BET(英国)  	 1.11	 8.7	 19.58	 84.44%	 10.77%	 4.79%	 93.73%	 0.91	 1.07	 1.03	 主 客 同
2	 Expekt(马耳他)  	 1.09	 9	 22	 85.42%	 10.35%	 4.23%	 93.11%	 0.9	 1.11	 1.15	 主 客 同
3	 澳门  	 1.1	 7	 17	 81.84%	 12.86%	 5.3%	 90.02%	 0.91	 0.86	 0.89	 主 客 同
4	 伟德(直布罗陀)  	 1.143	 6.5	 23	 81.6%	 14.35%	 4.05%	 93.27%	 0.94	 0.8	 1.21	 主 客 同
5	 立博(英国)  	 1.14	 7	 13	 79.96%	 13.02%	 7.01%	 91.15%	 0.94	 0.86	 0.68	 主 客 同
6	 Coral(英国)  	 1.15	 7.5	 15	 81.3%	 12.47%	 6.23%	 93.5%	 0.95	 0.93	 0.79	 主 客 同
7	 易胜博(安提瓜和巴布达) 	 1.12	 6.5	 18	 81%	 13.96%	 5.04%	 90.72%	 0.92	 0.8	 0.94	 主 客 同
8	 Stan James(直布罗陀)  	 1.12	 7	 19	 82.04%	 13.13%	 4.84%	 91.88%	 0.92	 0.86	 1	 主 客 同
9	 Interwetten(塞浦路斯) 	 1.2	 5.8	 13	 76.97%	 15.92%	 7.1%	 92.36%	 0.99	 0.72	 0.68	 主 客 同
10	 SNAI(意大利)  	 1.15	 7	 14	 80.23%	 13.18%	 6.59%	 92.26%	 0.95	 0.86	 0.73	 主 客 同
11	 威廉希尔(英国)  	 1.14	 6.5	 15	 79.91%	 14.02%	 6.07%	 91.1%	 0.94	 0.8	 0.79	 主 客 同
12	 gamebookers(安提瓜和巴布达)  	 1.13	 8	 16.5	 82.66%	 11.68%	 5.66%	 93.41%	 0.93	 0.99	 0.86	 主 客 同
13	 PinnacleSports(荷兰)  	 1.14	 10.1	 21	 85.68%	 9.67%	 4.65%	 97.68%	 0.94	 1.25	 1.1	 主 客 同
14	 bwin(奥地利)  	 1.12	 8.5	 16.5	 83.36%	 10.98%	 5.66%	 93.36%	 0.92	 1.05	 0.86	 主 客 同
15	 bet 365(英国)  	 1.12	 8.5	 19	 83.98%	 11.07%	 4.95%	 94.06%	 0.92	 1.05	 1	 主 客 同
16	 Oddset(德国)  	 1.1	 6	 13	 78.87%	 14.46%	 6.67%	 86.76%	 0.91	 0.74	 0.68	 主 客 同
17	 优胜客(马耳他)  	 1.1	 9	 20	 84.95%	 10.38%	 4.67%	 93.44%	 0.91	 1.11	 1.05	 主 客 同
18	 利记sbobet(英国)  	 1.13	 7	 21	 82.29%	 13.28%	 4.43%	 92.99%	 0.93	 0.86	 1.1	 主 客 同
19	 金宝博(马恩岛)  	 1.11	 6.8	 18.5	 81.75%	 13.34%	 4.91%	 90.74%	 0.91	 0.84	 0.97	 主 客 同
20	 明陞(菲律宾)  	 1.14	 6	 17.81	 79.74%	 15.15%	 5.1%	 90.9%	 0.94	 0.74	 0.93	 主 客 同
21	 SB  	 1.11	 6.8	 18.5	 81.75%	 13.34%	 4.91%	 90.74%	 0.91	 0.84	 0.97	 主 客 同
22	 IBCBET(哥斯达黎加)  	 1.14	 6	 17.81	 79.74%	 15.15%	 5.1%	 90.9%	 0.94	 0.74	 0.93	 主 客 同
