1	拜仁慕尼黑	 33	 28	 3	 2	 91	 22	 69	 16	 14	 1	 1	 45	 14	 17	 14	 2	 1	 46	 8	 87
2	多特蒙德	 34	 22	 5	 7	 80	 38	 42	 17	 11	 2	 4	 41	 19	 17	 11	 3	 3	 39	 19	 71
3	沙尔克04	 34	 19	 7	 8	 63	 43	 20	 17	 12	 2	 3	 37	 16	 17	 7	 5	 5	 26	 27	 64
4	勒沃库森	 34	 19	 4	 11	 60	 41	 19	 17	 10	 3	 4	 35	 22	 17	 9	 1	 7	 25	 19	 61
5	沃尔夫斯堡	 34	 18	 6	 10	 63	 50	 13	 17	 11	 3	 3	 37	 22	 17	 7	 3	 7	 26	 28	 60
6	门兴格拉德巴赫	 33	 16	 7	 10	 58	 40	 18	 17	 11	 3	 3	 38	 17	 16	 5	 4	 7	 20	 23	 55
7	美因茨	 34	 16	 5	 13	 52	 54	 -2	 17	 10	 3	 4	 28	 17	 17	 6	 2	 9	 24	 37	 53
8	奥格斯堡	 34	 15	 7	 12	 47	 47	 0	 17	 9	 3	 5	 27	 22	 17	 6	 4	 7	 20	 25	 52
9	霍芬海姆	 34	 11	 11	 12	 72	 70	 2	 17	 7	 6	 4	 43	 31	 17	 4	 5	 8	 29	 39	 44
10	汉诺威96	 34	 12	 6	 16	 46	 59	 -13	 17	 8	 5	 4	 27	 25	 17	 4	 1	 12	 19	 34	 42
11	柏林赫塔	 34	 11	 8	 15	 40	 48	 -8	 17	 6	 3	 8	 20	 24	 17	 5	 5	 7	 20	 24	 41
12	云达不来梅	 34	 10	 9	 15	 42	 66	 -24	 17	 6	 6	 5	 21	 30	 17	 4	 3	 10	 21	 36	 39
13	法兰克福	 34	 9	 9	 16	 40	 57	 -17	 17	 5	 5	 7	 22	 24	 17	 4	 4	 9	 18	 33	 36
14	弗赖堡	 34	 9	 9	 16	 43	 61	 -18	 17	 6	 4	 7	 25	 30	 17	 3	 5	 9	 18	 31	 36
15	斯图加特	 34	 8	 8	 18	 49	 62	 -13	 17	 5	 4	 8	 28	 28	 17	 3	 4	 10	 21	 34	 32
16	汉堡	 34	 7	 6	 21	 51	 75	 -24	 17	 5	 3	 9	 24	 34	 17	 2	 3	 12	 27	 41	 27
17	纽伦堡	 34	 5	 11	 18	 37	 70	 -33	 17	 3	 5	 9	 16	 32	 17	 2	 6	 9	 21	 38	 26
18	布伦斯维克	 34	 6	 7	 21	 29	 60	 -31	 17	 5	 3	 9	 18	 24	 17	 1	 4	 12	 11	 36	 25
